Hello from process 1 of 3Hello from process 
2 of 3
Hello from process 0 of 3
(0.553941,0.382732)
(0.396248,0.017163)
(0.0481268,0.643609)
(0.525673,0.0441083)
(0.153039,0.927212)
(0.50001,0.233953)
(0.256087,0.12309)
(0.543093,0.748451)
(0.781332,0.895368)
(0.197739,0.160576)
(0.301632,0.222781)
(0.177019,0.625223)
(0.0592486,0.160406)
(0.525688,0.105645)
(0.861276,0.606871)
(0.505911,0.0408945)
(0.189545,0.700849)
(0.507765,0.714903)
(0.677303,0.955016)
(0.458766,0.621212)
(0.821283,0.0930226)
(0.64092,0.0717984)
(0.541673,0.745344)
(0.675527,0.978648)
(0.745902,0.670476)
(0.90995,0.871321)
(0.207511,0.56242)
(0.853678,0.892595)
(0.238019,0.520472)
(0.85618,0.126715)
(0.580149,0.438707)
(0.0869169,0.474399)
(0.355712,0.323952)
(0.287875,0.763498)
(0.830823,0.172345)
(0.818973,0.446271)
(0.600123,0.975765)
(0.764282,0.967321)
(0.279816,0.809355)
(0.644762,0.016471)
(0.903822,0.350551)
(0.444351,0.963958)
(0.588898,0.935665)
(0.585468,0.64155)
(0.439703,0.778351)
(0.0587616,0.150062)
(0.999966,0.23549)
(0.790627,0.0901941)
(0.226599,0.19108)
(0.794923,0.39124)
(0.316978,0.43008)
(0.256109,0.986997)
(0.0572214,0.405307)
(0.57801,0.381031)
(0.107607,0.638801)
(0.673505,0.675252)
(0.0837182,0.553657)
(0.113394,0.173625)
(0.263263,0.984204)
(0.99577,0.617172)
(0.0795676,0.364057)
(0.139267,0.204198)
(0.897943,0.0636628)
(0.94058,0.927108)
(0.910798,0.879398)
(0.106843,0.447702)
(0.0254236,0.619811)
(0.82135,0.348091)
(0.321171,0.7758)
(0.161558,0.847328)
(0.70016,0.0186313)
(0.483299,0.0393099)
(0.852404,0.411637)
(0.190835,0.782142)
(0.511287,0.460228)
(0.521568,0.171555)
(0.0427497,0.292687)
(0.883398,0.884475)
(0.676115,0.563306)
(0.352196,0.193716)
(0.832147,0.0363751)
(0.759489,0.467824)
(0.887488,0.368503)
(0.785263,0.0135721)
(0.198417,0.0902187)
(0.922211,0.2911)
(0.142651,0.365605)
(0.970077,0.97649)
(0.540064,0.628225)
(0.777008,0.465035)
(0.318129,0.96452)
(0.341471,0.691785)
(0.959416,0.831175)
(0.647524,0.834346)
(0.781684,0.913243)
(0.290491,0.553778)
(0.578283,0.446632)
(0.504636,0.279518)
(0.155945,0.595252)
(0.719034,0.553742)
(0.376087,0.780251)
(0.979695,0.311057)
(0.611978,0.620161)
(0.898314,0.534789)
(0.835703,0.586241)
(0.373806,0.122417)
(0.175941,0.137106)
(0.290942,0.344115)
(0.599756,0.529301)
(0.605753,0.644228)
